Sampling,Calibration,FPR,Recall,Prec,F1
10s,static,0.7406466861108317,0.9645348837209302,0.1445373758494511,0.2514017275344749
10s,self_filtered,0.1473398370713064,0.8251937984496124,0.4208341569480134,0.5574028014137976
10s,operator_feedback,0.029794830534044,0.7308139534883721,0.7608958837772397,0.7455516014234875
1s,static,0.7283845842885085,0.9538670284938942,0.1450326109701358,0.2517824570918384
1s,self_filtered,0.1462278008079966,0.4735995347935646,0.2955449915931826,0.3639627293108199
1s,operator_feedback,0.0518895520364376,0.7036053498740066,0.6372158342842096,0.6687669844779144
