Layers,Hidden,Calibration,FPR,Recall,F1
1,64,static,0.7299859197425325,0.9437984496124031,0.249340808437652
1,64,self_filtered,0.13952026551342653,0.772093023255814,0.5422990539712789
2,64,static,0.7191240068389821,0.9486434108527132,0.2532595198675497
2,64,self_filtered,0.142160313788595,0.7641472868217054,0.5343904587653316
3,64,static,0.7418032786885246,0.961046511627907,0.25031548129826864
3,64,self_filtered,0.15390224278386805,0.796124031007752,0.53388784196504
