Lambda,FPR,Recall,F1,Precision,alpha,window,quantile,score_key
0.005,0.2626722317208086,0.8412790697674418,0.43523160216563067,0.29354882337030025,0.01,3600,0.99,score_pred
0.01,0.14733983707130643,0.8251937984496124,0.5574028014137976,0.42083415694801346,0.01,3600,0.99,score_pred
0.02,0.05209695262999095,0.7408914728682171,0.6916327453640887,0.6485156912637828,0.01,3600,0.99,score_pred
0.05,0.05041235039726441,0.6122093023255814,0.6119721038357225,0.6117350890782339,0.01,3600,0.99,score_pred
0.1,0.04807402192497234,0.4310077519379845,0.47848537005163516,0.5377176015473888,0.01,3600,0.99,score_pred
