Gamma,FPR,Recall,F1,Precision,alpha,window,damp_alpha,delay,review_prob,update_mode,score_key
0.001,0.020366086694156692,0.7141472868217055,0.7633350595546349,0.8197997775305895,0.01,3600,0.01,60,1.0,damped,score_pred
0.005,0.027305642160313788,0.7197674418604652,0.7457831325301204,0.77375,0.01,3600,0.01,60,1.0,damped,score_pred
0.01,0.02979483053404405,0.7308139534883721,0.7455516014234875,0.7608958837772397,0.01,3600,0.01,60,1.0,damped,score_pred
0.02,0.030976566428643267,0.7205426356589147,0.7355093966369931,0.7511111111111111,0.01,3600,0.01,60,1.0,damped,score_pred
0.05,0.0356532233732274,0.7346899224806202,0.7312180538142541,0.7277788443079286,0.01,3600,0.01,60,1.0,damped,score_pred
0.1,0.037488685507392136,0.7317829457364341,0.7242735206674978,0.7169166508448832,0.01,3600,0.01,60,1.0,damped,score_pred
